DATE,MABARN1URN
1990-01-01,7.6333333333333333
1991-01-01,10.5083333333333333
1992-01-01,10.9833333333333333
1993-01-01,9.6750000000000000
1994-01-01,8.7916666666666667
1995-01-01,7.3666666666666667
1996-01-01,6.4666666666666667
1997-01-01,6.0333333333333333
1998-01-01,5.1250000000000000
1999-01-01,4.5166666666666667
2000-01-01,3.5916666666666667
2001-01-01,4.0166666666666667
2002-01-01,4.7250000000000000
2003-01-01,5.2750000000000000
2004-01-01,5.0166666666666667
2005-01-01,4.9583333333333333
2006-01-01,4.9916666666666667
2007-01-01,4.8750000000000000
2008-01-01,5.8583333333333333
2009-01-01,8.4666666666666667
2010-01-01,9.7333333333333333
2011-01-01,9.1166666666666667
2012-01-01,8.5833333333333333
2013-01-01,8.4000000000000000
2014-01-01,7.2333333333333333
2015-01-01,6.1583333333333333
2016-01-01,5.1500000000000000
2017-01-01,4.8500000000000000
2018-01-01,4.5166666666666667
2019-01-01,4.1500000000000000
2020-01-01,10.8666666666666667
2021-01-01,6.7833333333333333
2022-01-01,4.6000000000000000
2023-01-01,.
