DATE,MADUKE7URN
1990-01-01,5.5916666666666667
1991-01-01,7.9083333333333333
1992-01-01,8.7416666666666667
1993-01-01,8.2166666666666667
1994-01-01,7.5083333333333333
1995-01-01,6.2833333333333333
1996-01-01,6.0083333333333333
1997-01-01,5.5416666666666667
1998-01-01,4.5083333333333333
1999-01-01,4.3000000000000000
2000-01-01,3.1500000000000000
2001-01-01,3.2416666666666667
2002-01-01,4.1166666666666667
2003-01-01,4.5333333333333333
2004-01-01,4.3083333333333333
2005-01-01,4.2166666666666667
2006-01-01,4.1416666666666667
2007-01-01,3.7916666666666667
2008-01-01,4.4000000000000000
2009-01-01,6.8083333333333333
2010-01-01,9.9000000000000000
2011-01-01,9.7166666666666667
2012-01-01,9.2500000000000000
2013-01-01,9.4083333333333333
2014-01-01,8.2666666666666667
2015-01-01,6.8666666666666667
2016-01-01,5.6500000000000000
2017-01-01,5.3166666666666667
2018-01-01,5.0583333333333333
2019-01-01,4.5916666666666667
2020-01-01,10.0166666666666667
2021-01-01,6.8083333333333333
2022-01-01,5.0583333333333333
2023-01-01,.
