DATE,MAESSE9URN
1990-01-01,6.7333333333333333
1991-01-01,9.0000000000000000
1992-01-01,9.1833333333333333
1993-01-01,7.5000000000000000
1994-01-01,6.5333333333333333
1995-01-01,5.5083333333333333
1996-01-01,4.7333333333333333
1997-01-01,4.2916666666666667
1998-01-01,3.7333333333333333
1999-01-01,3.6166666666666667
2000-01-01,2.8750000000000000
2001-01-01,4.1166666666666667
2002-01-01,5.8416666666666667
2003-01-01,6.3083333333333333
2004-01-01,5.6416666666666667
2005-01-01,5.2166666666666667
2006-01-01,5.0500000000000000
2007-01-01,4.7916666666666667
2008-01-01,5.6000000000000000
2009-01-01,8.6500000000000000
2010-01-01,8.4416666666666667
2011-01-01,7.6083333333333333
2012-01-01,7.1083333333333333
2013-01-01,6.9583333333333333
2014-01-01,5.9833333333333333
2015-01-01,4.9833333333333333
2016-01-01,4.1250000000000000
2017-01-01,3.8916666666666667
2018-01-01,3.5416666666666667
2019-01-01,3.1416666666666667
2020-01-01,10.4250000000000000
2021-01-01,6.3750000000000000
2022-01-01,3.8166666666666667
2023-01-01,.
