DATE,MAHAMP5URN
1990-01-01,5.1666666666666667
1991-01-01,7.1083333333333333
1992-01-01,6.8000000000000000
1993-01-01,5.5333333333333333
1994-01-01,4.9250000000000000
1995-01-01,4.1666666666666667
1996-01-01,3.4333333333333333
1997-01-01,2.9333333333333333
1998-01-01,2.7833333333333333
1999-01-01,2.5416666666666667
2000-01-01,2.2583333333333333
2001-01-01,2.7500000000000000
2002-01-01,3.5166666666666667
2003-01-01,4.2000000000000000
2004-01-01,4.0250000000000000
2005-01-01,4.0166666666666667
2006-01-01,3.9166666666666667
2007-01-01,3.8083333333333333
2008-01-01,4.3666666666666667
2009-01-01,6.4416666666666667
2010-01-01,6.8000000000000000
2011-01-01,6.1416666666666667
2012-01-01,5.8250000000000000
2013-01-01,5.9750000000000000
2014-01-01,5.2583333333333333
2015-01-01,4.4916666666666667
2016-01-01,3.7666666666666667
2017-01-01,3.5166666666666667
2018-01-01,3.1333333333333333
2019-01-01,2.8666666666666667
2020-01-01,7.6833333333333333
2021-01-01,4.6750000000000000
2022-01-01,3.0916666666666667
2023-01-01,.
