DATE,MAMIDD7URN
1990-01-01,5.2083333333333333
1991-01-01,7.1833333333333333
1992-01-01,7.4583333333333333
1993-01-01,6.0500000000000000
1994-01-01,5.1250000000000000
1995-01-01,4.3833333333333333
1996-01-01,3.4916666666666667
1997-01-01,3.0333333333333333
1998-01-01,2.5000000000000000
1999-01-01,2.5666666666666667
2000-01-01,2.2833333333333333
2001-01-01,3.3666666666666667
2002-01-01,4.9166666666666667
2003-01-01,5.2500000000000000
2004-01-01,4.4000000000000000
2005-01-01,4.0333333333333333
2006-01-01,3.9000000000000000
2007-01-01,3.6833333333333333
2008-01-01,4.3333333333333333
2009-01-01,6.8666666666666667
2010-01-01,6.7333333333333333
2011-01-01,5.8916666666666667
2012-01-01,5.4333333333333333
2013-01-01,5.4166666666666667
2014-01-01,4.6500000000000000
2015-01-01,3.9000000000000000
2016-01-01,3.2750000000000000
2017-01-01,3.1250000000000000
2018-01-01,2.7916666666666667
2019-01-01,2.4250000000000000
2020-01-01,7.8000000000000000
2021-01-01,4.6333333333333333
2022-01-01,2.7583333333333333
2023-01-01,.
