DATE,MANANT9URN
1990-01-01,3.7250000000000000
1991-01-01,6.4083333333333333
1992-01-01,5.6583333333333333
1993-01-01,4.7083333333333333
1994-01-01,3.3000000000000000
1995-01-01,3.1500000000000000
1996-01-01,2.8916666666666667
1997-01-01,2.7916666666666667
1998-01-01,2.0750000000000000
1999-01-01,2.0666666666666667
2000-01-01,1.7083333333333333
2001-01-01,1.9083333333333333
2002-01-01,2.1833333333333333
2003-01-01,2.8250000000000000
2004-01-01,2.8083333333333333
2005-01-01,2.7750000000000000
2006-01-01,2.5500000000000000
2007-01-01,2.6416666666666667
2008-01-01,3.6000000000000000
2009-01-01,7.3833333333333333
2010-01-01,10.0833333333333333
2011-01-01,9.3666666666666667
2012-01-01,8.5333333333333333
2013-01-01,7.8916666666666667
2014-01-01,6.8000000000000000
2015-01-01,5.9500000000000000
2016-01-01,5.1166666666666667
2017-01-01,5.0583333333333333
2018-01-01,5.1333333333333333
2019-01-01,4.9416666666666667
2020-01-01,11.4583333333333333
2021-01-01,8.2416666666666667
2022-01-01,6.4666666666666667
2023-01-01,.
