DATE,MAPLYM3URN
1990-01-01,7.2666666666666667
1991-01-01,10.0583333333333333
1992-01-01,10.0583333333333333
1993-01-01,8.0750000000000000
1994-01-01,6.5416666666666667
1995-01-01,5.8166666666666667
1996-01-01,5.2250000000000000
1997-01-01,4.4333333333333333
1998-01-01,3.5500000000000000
1999-01-01,3.3833333333333333
2000-01-01,2.8083333333333333
2001-01-01,3.5666666666666667
2002-01-01,4.8000000000000000
2003-01-01,5.5333333333333333
2004-01-01,5.1416666666666667
2005-01-01,4.8250000000000000
2006-01-01,4.8250000000000000
2007-01-01,4.8166666666666667
2008-01-01,5.6083333333333333
2009-01-01,8.4500000000000000
2010-01-01,8.6916666666666667
2011-01-01,7.7416666666666667
2012-01-01,7.0416666666666667
2013-01-01,6.9166666666666667
2014-01-01,6.0000000000000000
2015-01-01,5.0500000000000000
2016-01-01,4.2250000000000000
2017-01-01,4.0333333333333333
2018-01-01,3.6250000000000000
2019-01-01,3.1833333333333333
2020-01-01,10.0416666666666667
2021-01-01,6.1333333333333333
2022-01-01,3.8083333333333333
2023-01-01,.
