DATE,MAWORC7URN
1990-01-01,7.0583333333333333
1991-01-01,9.7500000000000000
1992-01-01,9.0916666666666667
1993-01-01,7.1416666666666667
1994-01-01,5.8083333333333333
1995-01-01,5.3666666666666667
1996-01-01,4.6166666666666667
1997-01-01,4.0250000000000000
1998-01-01,3.4416666666666667
1999-01-01,3.4750000000000000
2000-01-01,2.8416666666666667
2001-01-01,3.9583333333333333
2002-01-01,5.5333333333333333
2003-01-01,6.1000000000000000
2004-01-01,5.4750000000000000
2005-01-01,5.1916666666666667
2006-01-01,5.0583333333333333
2007-01-01,4.9833333333333333
2008-01-01,5.7750000000000000
2009-01-01,8.8500000000000000
2010-01-01,8.5666666666666667
2011-01-01,7.6833333333333333
2012-01-01,7.2166666666666667
2013-01-01,7.1000000000000000
2014-01-01,6.1000000000000000
2015-01-01,5.0833333333333333
2016-01-01,4.2583333333333333
2017-01-01,4.0083333333333333
2018-01-01,3.6583333333333333
2019-01-01,3.3250000000000000
2020-01-01,9.3750000000000000
2021-01-01,5.8833333333333333
2022-01-01,3.7083333333333333
2023-01-01,.
